"MUN_NOME","SER_NOME","total_alunos"
"Ponto Belo","3º Ano EF",88
"São Domingos do Norte","7º Ano EF",87
"Apiacá","8º Ano EF",86
"Montanha","8º Ano EF",85
"Mucurici","5º Ano EF",85
"Ponto Belo","5º Ano EF",85
"Ponto Belo","4º Ano EF",84
"Boa Esperança","6º Ano EF",84
"Águia Branca","7º Ano EF",83
"Apiacá","4º Ano EF",83
"Mucurici","3º Ano EF",82
"Vargem Alta","8º Ano EF",82
"Mucurici","1º Ano EF",81
"Apiacá","7º Ano EF",81
"Apiacá","6º Ano EF",80
"Boa Esperança","8º Ano EF",80
"Apiacá","3º Ano EF",78
"Ibitirama","1º Ano EF",78
"Apiacá","5º Ano EF",78
"Brejetuba","1º Ano EF",75
"Apiacá","1º Ano EF",73
"Divino de São Lourenço","1º Ano EF",73
"Marechal Floriano","1º Ano EF",71
"Mucurici","6º Ano EF",70
"Águia Branca","8º Ano EF",70
"Águia Branca","6º Ano EF",69
"São Domingos do Norte","9º Ano EF",69
"Divino de São Lourenço","4º Ano EF",69
"Vargem Alta","9º Ano EF",68
"Montanha","9º Ano EF",67
"Boa Esperança","7º Ano EF",66
"Mucurici","7º Ano EF",64
"Divino de São Lourenço","5º Ano EF",64
"Muqui","7º Ano EF",61
"Muqui","6º Ano EF",61
"Divino de São Lourenço","2º Ano EF",58
"Laranja da Terra","8º Ano EF",57
"Divino de São Lourenço","3º Ano EF",56
"Laranja da Terra","1º Ano EF",55
"Águia Branca","9º Ano EF",55
"Boa Esperança","9º Ano EF",54
"Mimoso do Sul","8º Ano EF",53
"Ponto Belo","1º Ano EF",53
"Santa Leopoldina","6º Ano EF",50
"Mimoso do Sul","9º Ano EF",49
"Santa Leopoldina","8º Ano EF",47
"Santa Leopoldina","7º Ano EF",46
"Iúna","6º Ano EF",46
"Iconha","8º Ano EF",46
"Iúna","7º Ano EF",46
"Laranja da Terra","7º Ano EF",45
"Muqui","8º Ano EF",45
"Irupi","9º Ano EF",43
"Santa Leopoldina","9º Ano EF",43
"Atílio Vivácqua","3º Ano EF",39
"Apiacá","9º Ano EF",39
"Atílio Vivácqua","4º Ano EF",38
"Iconha","9º Ano EF",37
"Laranja da Terra","9º Ano EF",35
"Marilândia","9º Ano EF",35
"Iúna","8º Ano EF",34
"Marilândia","8º Ano EF",33
"Brejetuba","6º Ano EF",30
"Brejetuba","7º Ano EF",29
"Muqui","9º Ano EF",28
"Iúna","9º Ano EF",27
"Brejetuba","8º Ano EF",27
"Brejetuba","9º Ano EF",23
"Ponto Belo","6º Ano EF",21
"Ibatiba","9º Ano EF",21
"Ponto Belo","8º Ano EF",20
"Ponto Belo","7º Ano EF",19
"Irupi","8º Ano EF",19
"Brejetuba","4º Ano EF",18
"Ponto Belo","9º Ano EF",17
"Mucurici","8º Ano EF",17
"Mucurici","9º Ano EF",16
"Brejetuba","5º Ano EF",16
"Ibatiba","6º Ano EF",12
"Ibatiba","7º Ano EF",11
"Ibatiba","8º Ano EF",10
